1,1992,1,1,99,95,24,0,5
2,1993,1,1,67,64,12,1,3
3,1994,1,1,616,546,210,13,54
4,1995,1,1,613,524,179,25,80
5,1996,1,1,611,542,193,16,84
6,1997,1,1,607,536,185,17,91
7,1998,1,1,558,506,181,13,71
8,1999,1,1,468,411,141,21,68
9,2000,1,1,459,395,153,12,73
10,1981,2,2,6,5,1,0,0
11,1984,2,2,154,140,33,4,14
12,1985,2,2,542,468,118,40,93
13,1986,2,2,562,492,132,41,115
14,1987,2,2,550,496,130,43,94
15,1988,2,2,577,517,151,38,103
16,1989,2,2,555,478,144,31,99
17,1990,2,2,559,476,122,35,91
18,1991,2,2,515,455,135,35,88
19,1992,2,2,566,480,142,31,89
20,1993,2,2,536,470,116,30,72
